0	-35.591
0.002	-36.155
0.004	-37.552
0.006	-39.015
0.008	-40.068
0.01	-40.91
0.012	-41.654
0.014	-42.28
0.016	-42.833
0.018	-43.327
0.02	-43.77
0.022	-44.175
0.024	-44.545
0.026	-44.886
0.028	-45.203
0.03	-45.499
0.032	-45.776
0.034	-46.036
0.036	-46.282
0.038	-46.515
0.04	-46.736
0.042	-46.947
0.044	-47.147
0.046	-47.339
0.048	-47.523
0.05	-47.699
0.052	-47.869
0.054	-48.032
0.056	-48.19
0.058	-48.341
0.06	-48.488
0.062	-48.63
0.064	-48.767
0.066	-48.901
0.068	-49.03
0.07	-49.156
0.072	-49.278
0.074	-49.396
0.076	-49.512
0.078	-49.624
0.08	-49.734
0.082	-49.841
0.084	-49.945
0.086	-50.047
0.088	-50.147
0.09	-50.244
0.092	-50.34
0.094	-50.433
0.096	-50.524
0.098	-50.613
0.1	-50.701
0.102	-50.787
0.104	-50.871
0.106	-50.954
0.108	-51.035
0.11	-51.114
0.112	-51.192
0.114	-51.269
0.116	-51.344
0.118	-51.418
0.12	-51.491
0.122	-51.563
0.124	-51.633
0.126	-51.703
0.128	-51.771
0.13	-51.838
0.132	-51.904
0.134	-51.97
0.136	-52.034
0.138	-52.097
0.14	-52.159
0.142	-52.221
0.144	-52.282
0.146	-52.341
0.148	-52.4
0.15	-52.458
0.152	-52.516
0.154	-52.572
0.156	-52.628
0.158	-52.684
0.16	-52.738
0.162	-52.792
0.164	-52.845
0.166	-52.897
0.168	-52.949
0.17	-53.001
0.172	-53.051
0.174	-53.101
0.176	-53.151
0.178	-53.2
0.18	-53.248
0.182	-53.296
0.184	-53.343
0.186	-53.39
0.188	-53.436
0.19	-53.482
0.192	-53.528
0.194	-53.572
0.196	-53.617
0.198	-53.661
0.2	-53.704
0.202	-53.747
0.204	-53.79
0.206	-53.832
0.208	-53.874
0.21	-53.915
0.212	-53.956
0.214	-53.997
0.216	-54.037
0.218	-54.077
0.22	-54.117
0.222	-54.156
0.224	-54.195
0.226	-54.233
0.228	-54.271
0.23	-54.309
0.232	-54.346
0.234	-54.383
0.236	-54.42
0.238	-54.457
0.24	-54.493
0.242	-54.529
0.244	-54.564
0.246	-54.599
0.248	-54.634
0.25	-54.669
0.252	-54.704
0.254	-54.738
0.256	-54.772
0.258	-54.805
0.26	-54.839
0.262	-54.872
0.264	-54.904
0.266	-54.937
0.268	-54.969
0.27	-55.001
0.272	-55.033
0.274	-55.065
0.276	-55.096
0.278	-55.128
0.28	-55.158
0.282	-55.189
0.284	-55.22
0.286	-55.25
0.288	-55.28
0.29	-55.31
0.292	-55.339
0.294	-55.369
0.296	-55.398
0.298	-55.427
0.3	-55.456
0.302	-55.485
0.304	-55.513
0.306	-55.541
0.308	-55.569
0.31	-55.597
0.312	-55.625
0.314	-55.653
0.316	-55.68
0.318	-55.707
0.32	-55.734
0.322	-55.761
0.324	-55.788
0.326	-55.814
0.328	-55.841
0.33	-55.867
0.332	-55.893
0.334	-55.919
0.336	-55.944
0.338	-55.97
0.34	-55.995
0.342	-56.02
0.344	-56.046
0.346	-56.07
0.348	-56.095
0.35	-56.12
0.352	-56.144
0.354	-56.169
0.356	-56.193
0.358	-56.217
0.36	-56.241
0.362	-56.265
0.364	-56.288
0.366	-56.312
0.368	-56.335
0.37	-56.359
0.372	-56.382
0.374	-56.405
0.376	-56.428
0.378	-56.451
0.38	-56.473
0.382	-56.496
0.384	-56.518
0.386	-56.54
0.388	-56.563
0.39	-56.585
0.392	-56.607
0.394	-56.628
0.396	-56.65
0.398	-56.672
0.4	-56.693
0.402	-56.715
0.404	-56.736
0.406	-56.757
0.408	-56.778
0.41	-56.799
0.412	-56.82
0.414	-56.841
0.416	-56.861
0.418	-56.882
0.42	-56.902
0.422	-56.922
0.424	-56.943
0.426	-56.963
0.428	-56.983
0.43	-57.003
0.432	-57.023
0.434	-57.042
0.436	-57.062
0.438	-57.082
0.44	-57.101
0.442	-57.12
0.444	-57.14
0.446	-57.159
0.448	-57.178
0.45	-57.197
0.452	-57.216
0.454	-57.235
0.456	-57.254
0.458	-57.272
0.46	-57.291
0.462	-57.309
0.464	-57.328
0.466	-57.346
0.468	-57.365
0.47	-57.383
0.472	-57.401
0.474	-57.419
0.476	-57.437
0.478	-57.455
0.48	-57.472
0.482	-57.49
0.484	-57.508
0.486	-57.525
0.488	-57.543
0.49	-57.56
0.492	-57.578
0.494	-57.595
0.496	-57.612
0.498	-57.629
0.5	-57.646
0.502	-57.663
0.504	-57.68
0.506	-57.697
0.508	-57.714
0.51	-57.73
0.512	-57.747
0.514	-57.764
0.516	-57.78
0.518	-57.797
0.52	-57.813
0.522	-57.829
0.524	-57.846
0.526	-57.862
0.528	-57.878
0.53	-57.894
0.532	-57.91
0.534	-57.926
0.536	-57.942
0.538	-57.957
0.54	-57.973
0.542	-57.989
0.544	-58.004
0.546	-58.02
0.548	-58.035
0.55	-58.051
0.552	-58.066
0.554	-58.081
0.556	-58.097
0.558	-58.112
0.56	-58.127
0.562	-58.142
0.564	-58.157
0.566	-58.172
0.568	-58.187
0.57	-58.202
0.572	-58.217
0.574	-58.231
0.576	-58.246
0.578	-58.261
0.58	-58.275
0.582	-58.29
0.584	-58.304
0.586	-58.319
0.588	-58.333
0.59	-58.347
0.592	-58.362
0.594	-58.376
0.596	-58.39
0.598	-58.404
0.6	-58.418
0.602	-58.432
0.604	-58.446
0.606	-58.46
0.608	-58.474
0.61	-58.488
0.612	-58.502
0.614	-58.515
0.616	-58.529
0.618	-58.543
0.62	-58.556
